user_id,user_type,amount_type_1,cnt_type_1,amount_type_2,cnt_type_2
fdff2fa,01,205000,6,70000,2
0539e2e,01,30900,2,2764000,20
6387f0c,10,261200,11,53000,5
c31c26e,10,70450,3,310965,12
2066465,11,156600,7,8000,2
8542925,11,796932,28,2783213,26
b83150b,01,178970,13,84400,3
015e13b,01,339600,3,2258000,6
7edca03,01,0,0,50000,1
bfe1e5e,11,400732,14,150000,2
065f85d,11,34000,2,34900,3
8ea79eb,11,577250,11,1041340,9
0d73fa4,11,2000,2,1252000,8
0bfb9da,10,35300,4,150399,13
4d9be5c,01,505969,11,902500,7
b062049,11,424000,19,8344740,64
6c70811,11,709520,21,5845528,18
bb6ba28,11,89100,29,102400,5
0e19ac8,11,119100,5,254300,5
0170853,10,89420,5,389000,30
8931b7a,11,146200,10,1373250,17
0494bfc,10,0,0,1000,1
b8ddc04,10,327960,8,6281570,38
2bba89e,10,24680,4,472570,31
3b0d256,11,88700,1,60390,3
cde4c54,11,143200,28,12698968,40
80a6183,11,21200,3,5248524,31
aeb352b,10,29800,1,1000,1
1c0b696,01,58240,3,98000,4
1d54983,10,513000,17,1875750,25
8f67a5b,10,68000,2,110000,16
a7307b3,10,143000,2,50000,1
366d22c,10,233000,7,1040900,20
402770e,10,391940,7,175000,13
78a6aad,10,1000,1,50000,1
b13367a,10,43550,6,790450,18
ef3a057,01,31800,2,49100,1
83af3d3,10,229140,13,101800,6
534063a,11,23000,1,2004050,7
f452b73,11,357000,5,356545,1
585a140,10,143280,6,157880,4
bf8ae1d,10,56000,4,66000,1
b876545,11,157490,9,100000,2
0372610,11,114500,10,311750,3
73d7a0e,10,1000,1,300000,1
9042324,11,112200,7,200000,1
7d25d84,10,163700,5,48200,4
062dccc,10,193200,10,5643320,72
f3fea9a,11,450800,23,1060706,23
5863518,01,1000,1,13500,1
809c6ef,11,570771,17,1355651,15
a5a6d8c,10,155360,21,1496438,41
6121b7c,10,88462,5,58950,2
61016f7,10,135430,7,101000,1
1ed081e,01,80800,6,46000,1
29da13e,11,177170,14,583050,14
54e320e,10,39100,6,204100,20
fb385eb,01,1076617,41,1268066,11
e5e5d4c,01,1017580,7,1050000,3
c76065d,10,328400,22,395114,13
70cd7b8,10,3000,2,37400,2
ddb3f34,10,65000,2,50000,1
353c7ce,01,106900,6,10000,1
007ac0a,10,547140,22,39000,1
cea6b53,10,166240,7,8601,1
595a2f5,11,687182,33,39000,2
4333bf0,10,194600,12,42000,1
8a3afbf,10,49700,4,60000,1
b5f4623,11,230369,21,3539000,18
d7b0f76,10,0,0,187500,1
910c5e1,11,104400,8,8049649,28
98b8836,10,424700,17,705000,3
ced1ffc,10,1901470,63,3641222,25
55432ff,10,43200,2,23200,3
fda6161,11,198900,16,8000,1
5d05c42,01,475282,11,199500,4
6ba9180,01,439222,7,2672508,31
48d8025,10,79400,3,700000,13
41bef09,01,534140,22,2044072,25
1cc3dc9,10,200600,11,162600,5
9bb35f0,01,125400,3,71060,2
d1486e0,10,50900,7,215035,3
b33b71f,10,0,0,110000,2
efc1973,10,268000,11,1100000,3
ef1da51,10,618140,22,297120,3
3d90ee7,11,119000,6,127025,5
6de22bf,11,2000,2,2875701,24
648faa6,11,243820,21,1756877,39
c1dccc2,01,37900,2,200000,4
5bb6c03,11,6000,6,80000,1
db80ea9,01,1000,1,26501050,72
041cf85,10,335120,26,228322,10
81d7bc3,10,47830,2,256000,4
76ec401,11,5980,3,164090,9
8b174b8,11,280420,30,3372160,17
91e0cd5,10,42370,3,840379,8
06a4b6f,10,226690,11,153800,3
48829b8,10,253724,2,18000,1
263f98a,01,160970,11,850000,3
1a917b4,11,760526,17,424925,13
10ec10e,10,14500,3,262000,4
928c10e,10,112930,14,20000,2
ad451ec,11,110000,4,372990,34
a94a1fa,01,113600,10,506000,15
e9174c4,01,185370,5,320900,5
59f509f,11,14000,5,2875000,12
f2cf32c,10,46800,6,17000,1
7aa5fe5,10,59900,10,242100,21
ac864e4,01,16100,3,212170,9
c18fa13,11,96800,4,344000,3
1235638,10,58300,4,60000,2
3ffd990,11,0,0,110000,6
acf1261,01,224400,1,2830770,23
1cf8cb1,11,22100,4,715780,29
b9ac673,11,223000,9,100000,1
27a0e68,10,110200,9,2631160,7
226c640,10,91500,5,31000,3
b718eaf,11,7000,8,159400,2
4d1516c,11,0,0,3700,1
89b7420,11,16800,6,213200,10
0393f89,11,78669,17,772000,4
64dd7cb,11,1706040,21,517500,14
bdf0f7d,11,223100,9,300000,2
efb0552,11,429028,16,333865,6
f32c1bd,11,94990,8,1306980,15
5b3725b,10,0,0,59600,2
fe03524,11,215100,8,200710,1
4e855ad,11,119340,5,2717600,24
dea937b,01,103300,5,1632000,13
bd21b9b,11,107004,5,200000,6
0258993,11,422800,18,700000,3
2074097,11,260100,14,50000,1
2480d45,11,11200,4,2809800,3
4e8834f,01,68800,3,300000,1
958e12c,11,101500,16,414800,14
9c244b0,10,767541,21,3258183,28
1263b67,10,10800,2,43000,1
84eddc3,10,221000,4,56200,3
213a44e,11,202800,11,860000,6
40575f6,11,62200,4,58700,4
09a9bf7,11,195380,10,851550,10
8ee2d73,10,107030,7,2235478,51
4de4895,11,96100,10,385910,10
709e035,01,60000,3,326922,5
3a0eb2a,10,230500,11,100000,1
87ce48a,10,0,0,410000,1
e5a906a,11,90070,7,1787166,17
6a7a096,01,89600,3,241629,7
748d9b7,10,125770,9,1665425,23
044ef96,11,180900,13,300000,1
2af00ed,11,2266290,47,728100,15
545dc38,10,26000,2,282000,13
9210bf7,10,27000,7,88367,2
0500ae8,11,430629,9,468591,12
1fa68af,10,13000,13,3047582,19
bee9654,10,1109460,59,646701,33
ac36041,01,8700,2,350000,1
79610d2,10,213900,13,728638,21
d156e72,10,1134724,34,20000,1
a15a86b,10,64900,5,55000,3
3c8edb6,11,1607964,53,3745540,72
9d17797,10,179622,13,3301336,90
5350431,10,13700,2,6250,1
5c6662d,11,76750,10,220000,2
36a0bfd,11,623430,19,100000,1
0ace08f,10,198600,10,2054300,22
eab050f,10,37000,6,231500,9
4592325,11,130730,14,210000,9
72a4d54,11,981600,23,50000,1
9a8f248,11,167882,12,700200,5
7640516,11,196900,10,859113,16
0e9bc48,01,50900,5,849800,36
ca86c0f,10,13700,1,116425,6
3f503b1,11,256300,14,1900000,3
3d116cc,10,26400,2,40000,1
43cc554,10,131200,5,39600,2
2ddfeda,11,131000,5,50000,1
0e32a0d,10,157200,10,187500,3
3564141,10,74200,3,33500,2
64f755a,01,0,0,15000,2
0b10f9b,01,1000,1,50001,1
28cb6ed,11,43900,3,81600,3
a53e393,11,73800,13,1421973,24
48fdddb,10,34000,2,1588000,58
a4cef63,01,82000,6,417000,10
cd41bd2,10,157700,4,1111124,13
6f3e50d,01,153700,12,224125,3
b42a7a9,01,3000,3,52000,1
66e918a,10,297704,12,90000,8
cfedf2c,11,8200,1,1560443,19
5037022,11,136300,24,64500,2
6f01a79,01,67803,6,64000,2
88eb422,01,474150,10,1665000,8
2ee6eb3,11,36900,3,100000,1
4c714fb,11,176400,6,95000,4
817d04c,01,368894,15,251000,6
0c973d7,10,66200,7,3314367,91
22be903,10,498100,37,180000,2
2e4f69a,01,212000,11,210000,2
7d1a629,01,674300,39,3166300,14
3513bd4,10,137650,3,80000,1
f11d070,10,6300,2,2743,1
7056b03,11,417700,18,217000,2
e9801fb,10,120700,25,482773,11
f4cd63e,10,14400,2,390000,3
d3e6876,10,63000,7,518000,19
c249d50,11,252840,22,301100,34
8653b98,11,122400,7,40000,1
8ae6ce5,10,359675,16,277085,78
